pair,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
USDCAD,long,2011-05-27,2011-07-01,0.979100,0.963800,-0.015627,35,stop
USDCAD,short,2011-07-13,2011-08-05,0.965800,0.980700,-0.015428,23,stop
USDCAD,long,2011-08-19,2011-09-02,0.990580,0.976000,-0.014719,14,stop
USDCAD,short,2011-11-10,2011-11-18,1.023800,1.029300,-0.005372,8,stop
USDCAD,long,2011-11-25,2011-12-07,1.047700,1.009040,-0.036900,12,stop
USDCAD,short,2012-01-12,2012-04-11,1.018200,1.004800,0.013161,90,stop
USDCAD,long,2012-04-13,2012-04-25,0.994700,0.986700,-0.008043,12,stop
USDCAD,short,2012-04-30,2012-05-09,0.980900,0.999500,-0.018962,9,stop
USDCAD,long,2012-05-18,2012-06-20,1.018700,1.017800,-0.000884,33,stop
USDCAD,short,2012-07-17,2012-10-04,1.014900,0.986490,0.027993,79,stop
USDCAD,long,2012-10-24,2012-11-27,0.992600,0.992680,0.000081,34,stop
USDCAD,short,2012-12-17,2012-12-24,0.985740,0.993700,-0.008075,7,stop
USDCAD,long,2013-01-30,2013-03-27,1.001300,1.016500,0.015180,56,stop
USDCAD,short,2013-04-17,2013-04-18,1.021800,1.026100,-0.004208,1,stop
USDCAD,long,2013-05-29,2013-06-11,1.040600,1.019400,-0.020373,13,stop
USDCAD,short,2013-08-06,2013-08-08,1.035720,1.042090,-0.006150,2,stop
USDCAD,long,2013-09-03,2013-09-10,1.055130,1.037200,-0.016993,7,stop
USDCAD,short,2013-09-27,2013-10-09,1.031100,1.035500,-0.004267,12,stop
USDCAD,long,2013-11-04,2014-02-14,1.041610,1.097730,0.053878,102,stop
USDCAD,short,2014-04-15,2014-06-05,1.096800,1.094100,0.002462,51,stop
USDCAD,long,2014-08-07,2014-08-28,1.091640,1.086750,-0.004479,21,stop
USDCAD,short,2015-04-16,2015-05-20,1.230400,1.222910,0.006087,34,stop
USDCAD,long,2015-06-09,2015-06-18,1.241000,1.222900,-0.014585,9,stop
USDCAD,short,2015-10-15,2015-10-28,1.292000,1.327000,-0.027090,13,stop
USDCAD,long,2015-11-17,2016-02-01,1.333000,1.397280,0.048222,76,stop
USDCAD,short,2016-02-18,2016-05-09,1.367740,1.292810,0.054784,81,stop
USDCAD,long,2016-05-30,2016-06-07,1.304600,1.281370,-0.017806,8,stop
USDCAD,short,2016-06-30,2016-07-12,1.293430,1.312300,-0.014589,12,stop
USDCAD,long,2016-07-13,2016-08-15,1.305760,1.295870,-0.007574,33,stop
USDCAD,short,2016-08-26,2016-09-01,1.291240,1.310920,-0.015241,6,stop
