instr,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
COPPER,short,2016-08-23,2016-09-14,2.115000,2.148000,-0.015603,22,stop
COPPER,long,2016-10-03,2016-10-13,2.183500,2.115000,-0.031372,10,stop
COPPER,short,2017-01-10,2017-01-11,2.603500,2.601000,0.000960,1,stop
COPPER,long,2017-01-24,2017-02-23,2.700500,2.642500,-0.021478,30,stop
COPPER,short,2017-03-17,2017-05-01,2.679500,2.650000,0.011010,45,stop
COPPER,long,2017-06-09,2017-09-13,2.646000,2.961000,0.119048,96,stop
COPPER,short,2017-10-04,2017-10-05,2.944500,3.031500,-0.029547,1,stop
COPPER,long,2017-10-17,2017-11-07,3.180500,3.082500,-0.030813,21,stop
COPPER,short,2017-12-05,2017-12-15,2.920500,3.110000,-0.064886,10,stop
COPPER,long,2017-12-29,2018-01-17,3.279500,3.166500,-0.034456,19,stop
COPPER,short,2018-02-13,2018-02-14,3.154500,3.228500,-0.023459,1,stop
COPPER,long,2018-05-02,2018-05-08,3.047500,3.040500,-0.002297,6,stop
COPPER,short,2018-05-23,2018-05-25,3.060500,3.067000,-0.002124,2,reversal
COPPER,long,2018-05-25,2018-06-19,3.067000,3.046500,-0.006684,25,stop
COPPER,short,2018-07-04,2018-09-18,2.906000,2.712000,0.066758,76,stop
COPPER,long,2018-10-02,2018-10-18,2.795000,2.737500,-0.020572,16,stop
COPPER,short,2018-11-14,2018-11-16,2.709500,2.804000,-0.034877,2,stop
COPPER,long,2018-12-07,2018-12-18,2.757500,2.671000,-0.031369,11,stop
COPPER,short,2018-12-21,2019-01-17,2.678500,2.700000,-0.008027,27,stop
COPPER,long,2019-02-05,2019-03-22,2.817000,2.836000,0.006745,45,stop
COPPER,short,2019-05-02,2019-06-18,2.784000,2.707000,0.027658,47,stop
COPPER,long,2019-07-19,2019-08-02,2.744500,2.565000,-0.065403,14,stop
COPPER,short,2019-08-07,2019-09-05,2.565000,2.624500,-0.023197,29,stop
COPPER,long,2019-10-01,2019-10-02,2.552000,2.561500,0.003723,1,stop
COPPER,short,2019-10-15,2019-10-18,2.604000,2.625000,-0.008064,3,stop
COPPER,long,2019-10-22,2019-11-14,2.622000,2.618500,-0.001335,23,stop
COPPER,short,2020-01-31,2020-02-21,2.520000,2.618000,-0.038889,21,stop
COPPER,long,2020-05-08,2020-08-07,2.408500,2.790500,0.158605,91,stop
COPPER,short,2021-06-21,2021-07-23,4.187500,4.406500,-0.052298,32,stop
COPPER,long,2021-08-09,2021-08-16,4.287000,4.322000,0.008164,7,stop
COPPER,short,2021-08-25,2021-08-30,4.265000,4.361000,-0.022509,5,stop
