date,us_2y_pct,ca_2y_pct,rate_diff_pp,d_diff_pp,usdcad_close,usdcad_return,position,gross_return,cost,net_return,cum_gross,cum_net
2013-11-20,0.294000,1.130000,-0.836000,0.007000,1.045450,0.002080,-1.000000,-0.002080,0.000000,-0.002080,4.362222,3.293530
2013-11-21,0.278000,1.110000,-0.832000,0.004000,1.045400,-0.000048,1.000000,-0.000048,0.000478,-0.000526,4.362013,3.291798
2013-11-22,0.274000,1.103000,-0.829000,0.003000,1.051780,0.006103,1.000000,0.006103,0.000000,0.006103,4.388634,3.311887
2013-11-25,0.286500,1.108000,-0.821500,0.007500,1.054500,0.002586,1.000000,0.002586,0.000000,0.002586,4.399983,3.320452
2013-11-26,0.282000,1.108000,-0.826000,-0.004500,1.052950,-0.001470,1.000000,-0.001470,0.000000,-0.001470,4.393516,3.315571
2013-11-27,0.293000,1.096000,-0.803000,0.023000,1.054230,0.001216,-1.000000,-0.001216,0.000474,-0.001690,4.388175,3.309968
2013-11-28,0.289000,1.105000,-0.816000,-0.013000,1.059130,0.004648,1.000000,0.004648,0.000472,0.004176,4.408571,3.323790
2013-11-29,0.289300,1.095000,-0.805700,0.010300,1.058500,-0.000595,-1.000000,0.000595,0.000472,0.000122,4.411193,3.324197
2013-12-02,0.289300,1.114000,-0.824700,-0.019000,1.062190,0.003486,1.000000,0.003486,0.000471,0.003015,4.426571,3.334221
2013-12-03,0.289000,1.097000,-0.808000,0.016700,1.064200,0.001892,-1.000000,-0.001892,0.000470,-0.002362,4.418195,3.326345
2013-12-04,0.289000,1.073000,-0.784000,0.024000,1.063900,-0.000282,1.000000,-0.000282,0.000470,-0.000752,4.416949,3.323844
2013-12-05,0.293000,1.082000,-0.789000,-0.005000,1.067650,0.003525,1.000000,0.003525,0.000000,0.003525,4.432517,3.335559
2013-12-06,0.305000,1.091000,-0.786000,0.003000,1.064700,-0.002763,-1.000000,0.002763,0.000470,0.002293,4.444765,3.343209
2013-12-09,0.305600,1.079000,-0.773400,0.012600,1.065420,0.000676,1.000000,0.000676,0.000469,0.000207,4.447771,3.343901
2013-12-10,0.302000,1.074000,-0.772000,0.001400,1.063530,-0.001774,1.000000,-0.001774,0.000000,-0.001774,4.439880,3.337969
2013-12-11,0.302000,1.089000,-0.787000,-0.015000,1.060480,-0.002868,1.000000,-0.002868,0.000000,-0.002868,4.427148,3.328396
2013-12-12,0.310000,1.102000,-0.792000,-0.005000,1.059170,-0.001235,-1.000000,0.001235,0.000472,0.000763,4.432616,3.330937
2013-12-13,0.326000,1.096000,-0.770000,0.022000,1.064190,0.004740,-1.000000,-0.004740,0.000000,-0.004740,4.411608,3.315149
2013-12-16,0.338200,1.113000,-0.774800,-0.004800,1.058810,-0.005056,1.000000,-0.005056,0.000472,-0.005528,4.389305,3.296824
2013-12-17,0.334000,1.106000,-0.772000,0.002800,1.059300,0.000463,-1.000000,-0.000463,0.000472,-0.000935,4.387273,3.293742
2013-12-18,0.322000,1.111000,-0.789000,-0.017000,1.060160,0.000812,1.000000,0.000812,0.000472,0.000340,4.390836,3.294863
2013-12-19,0.336000,1.144000,-0.808000,-0.019000,1.071470,0.010668,-1.000000,-0.010668,0.000467,-0.011135,4.343993,3.258176
2013-12-20,0.368000,1.103000,-0.735000,0.073000,1.067110,-0.004069,-1.000000,0.004069,0.000000,0.004069,4.361670,3.271434
2013-12-23,0.375600,1.131000,-0.755400,-0.020400,1.064210,-0.002718,1.000000,-0.002718,0.000470,-0.003187,4.349817,3.261007
2013-12-24,0.387000,1.128000,-0.741000,0.014400,1.061520,-0.002528,-1.000000,0.002528,0.000471,0.002057,4.360813,3.267714
2013-12-25,0.399000,1.128000,-0.729000,0.012000,1.063060,0.001451,1.000000,0.001451,0.000470,0.000980,4.367139,3.270918
2013-12-26,0.407000,1.128000,-0.721000,0.008000,1.063470,0.000386,1.000000,0.000386,0.000000,0.000386,4.368824,3.272179
2013-12-27,0.411000,1.148000,-0.737000,-0.016000,1.064800,0.001251,1.000000,0.001251,0.000000,0.001251,4.374287,3.276271
2013-12-30,0.391300,1.151000,-0.759700,-0.022700,1.070700,0.005541,-1.000000,-0.005541,0.000467,-0.006008,4.350050,3.256588
2013-12-31,0.383000,1.138000,-0.755000,0.004700,1.064500,-0.005791,-1.000000,0.005791,0.000000,0.005791,4.375239,3.275446
2014-01-01,0.384000,1.138000,-0.754000,0.001000,1.061930,-0.002414,1.000000,-0.002414,0.000471,-0.002885,4.364676,3.265995
2014-01-02,0.383800,1.137000,-0.753200,0.000800,1.064450,0.002373,1.000000,0.002373,0.000000,0.002373,4.375034,3.273746
2014-01-03,0.384000,1.139000,-0.755000,-0.001800,1.066910,0.002311,1.000000,0.002311,0.000000,0.002311,4.385145,3.281312
2014-01-06,0.404400,1.139000,-0.734600,0.020400,1.063050,-0.003618,-1.000000,0.003618,0.000470,0.003148,4.401010,3.291640
2014-01-07,0.397000,1.117000,-0.720000,0.014600,1.066090,0.002860,1.000000,0.002860,0.000469,0.002391,4.413595,3.299509
2014-01-08,0.393000,1.112000,-0.719000,0.001000,1.077300,0.010515,1.000000,0.010515,0.000000,0.010515,4.460005,3.334204
2014-01-09,0.429000,1.104000,-0.675000,0.044000,1.082230,0.004576,1.000000,0.004576,0.000000,0.004576,4.480415,3.349462
2014-01-10,0.433000,1.107000,-0.674000,0.001000,1.084480,0.002079,1.000000,0.002079,0.000000,0.002079,4.489730,3.356426
2014-01-13,0.373900,1.035000,-0.661100,0.012900,1.090410,0.005468,1.000000,0.005468,0.000000,0.005468,4.514280,3.374779
2014-01-14,0.362000,1.057000,-0.695000,-0.033900,1.088200,-0.002027,1.000000,-0.002027,0.000000,-0.002027,4.505130,3.367939
2014-01-15,0.382000,1.054000,-0.672000,0.023000,1.094720,0.005992,-1.000000,-0.005992,0.000457,-0.006448,4.478138,3.346221
2014-01-16,0.395000,1.053000,-0.658000,0.014000,1.094820,0.000091,1.000000,0.000091,0.000457,-0.000365,4.478547,3.344999
2014-01-17,0.387000,1.030000,-0.643000,0.015000,1.093200,-0.001480,1.000000,-0.001480,0.000000,-0.001480,4.471920,3.340049
2014-01-20,0.387000,1.015000,-0.628000,0.015000,1.096500,0.003019,1.000000,0.003019,0.000000,0.003019,4.485419,3.350132
2014-01-21,0.375300,1.030000,-0.654700,-0.026700,1.095240,-0.001149,1.000000,-0.001149,0.000000,-0.001149,4.480265,3.346282
2014-01-22,0.380000,1.036000,-0.656000,-0.001300,1.096800,0.001424,-1.000000,-0.001424,0.000456,-0.001880,4.473883,3.339990
2014-01-23,0.404000,1.010000,-0.606000,0.050000,1.110200,0.012217,-1.000000,-0.012217,0.000000,-0.012217,4.419224,3.299184
2014-01-24,0.364000,0.978000,-0.614000,-0.008000,1.111290,0.000982,1.000000,0.000982,0.000450,0.000532,4.423563,3.300939
2014-01-27,0.339600,0.998000,-0.658400,-0.044400,1.106200,-0.004580,-1.000000,0.004580,0.000452,0.004128,4.443824,3.314566
2014-01-28,0.344000,0.980000,-0.636000,0.022400,1.111460,0.004755,-1.000000,-0.004755,0.000000,-0.004755,4.422693,3.298805
2014-01-29,0.344000,0.964000,-0.620000,0.016000,1.114600,0.002825,1.000000,0.002825,0.000449,0.002376,4.435188,3.306645
2014-01-30,0.355000,0.971000,-0.616000,0.004000,1.118100,0.003140,1.000000,0.003140,0.000000,0.003140,4.449115,3.317028
2014-01-31,0.347000,0.951000,-0.604000,0.012000,1.115590,-0.002245,1.000000,-0.002245,0.000000,-0.002245,4.439127,3.309582
