date,eu_2y_pct,us_2y_pct,rate_diff_pp,d_diff_pp,eurusd_close,eurusd_return,position,gross_return,cost,net_return,cum_gross,cum_net
2024-03-21,2.861990,4.620000,-1.758010,-0.056847,1.093721,0.006803,1.000000,0.006803,0.000000,0.006803,59.994029,25.657473
2024-03-22,2.814208,4.590000,-1.775792,-0.017782,1.086236,-0.006843,-1.000000,0.006843,0.000460,0.006383,60.404594,25.821248
2024-03-25,2.843614,4.540000,-1.696386,0.079406,1.080754,-0.005047,-1.000000,0.005047,0.000000,0.005047,60.709460,25.951570
2024-03-26,2.844652,4.560000,-1.715348,-0.018962,1.083823,0.002840,1.000000,0.002840,0.000461,0.002378,60.881852,26.013290
2024-03-27,2.794001,4.540000,-1.745999,-0.030651,1.083236,-0.000542,-1.000000,0.000542,0.000462,0.000080,60.914825,26.015371
2024-03-28,2.798196,4.590000,-1.791804,-0.045805,1.081338,-0.001752,-1.000000,0.001752,0.000000,0.001752,61.021533,26.060944
2024-03-29,2.798196,4.590000,-1.791804,0.000000,1.079447,-0.001749,-1.000000,0.001749,0.000000,0.001749,61.128246,26.106519
2024-04-01,2.798196,4.720000,-1.921804,-0.130000,1.079273,-0.000162,0.000000,-0.000000,0.000232,-0.000232,61.128246,26.100472
2024-04-02,2.816994,4.700000,-1.883006,0.038798,1.073722,-0.005143,-1.000000,0.005143,0.000233,0.004910,61.442638,26.228633
2024-04-03,2.834004,4.680000,-1.845996,0.037011,1.076855,0.002918,1.000000,0.002918,0.000464,0.002454,61.621944,26.292997
2024-04-04,2.802137,4.650000,-1.847863,-0.001868,1.083835,0.006481,1.000000,0.006481,0.000000,0.006481,62.021337,26.463411
2024-04-05,2.830430,4.730000,-1.899570,-0.051707,1.083705,-0.000119,-1.000000,0.000119,0.000461,-0.000342,62.028732,26.454357
2024-04-08,2.845338,4.780000,-1.934662,-0.035092,1.083048,-0.000607,-1.000000,0.000607,0.000000,0.000607,62.066355,26.470402
2024-04-09,2.844529,4.740000,-1.895471,0.039191,1.086366,0.003064,-1.000000,-0.003064,0.000000,-0.003064,61.876206,26.389307
2024-04-10,2.890368,4.970000,-2.079632,-0.184161,1.085930,-0.000402,1.000000,-0.000402,0.000460,-0.000862,61.851342,26.366552
2024-04-11,2.900118,4.930000,-2.029882,0.049750,1.074172,-0.010828,-1.000000,0.010828,0.000465,0.010362,62.521048,26.639767
2024-04-12,2.809203,4.880000,-2.070797,-0.040915,1.072685,-0.001384,1.000000,-0.001384,0.000466,-0.001850,62.434532,26.590486
2024-04-15,2.831574,4.930000,-2.098426,-0.027629,1.064963,-0.007199,-1.000000,0.007199,0.000469,0.006730,62.884005,26.769430
2024-04-16,2.857913,4.970000,-2.112087,-0.013661,1.062575,-0.002242,-1.000000,0.002242,0.000000,0.002242,63.024998,26.829450
2024-04-17,2.868911,4.930000,-2.061089,0.050998,1.062146,-0.000404,-1.000000,0.000404,0.000000,0.000404,63.050431,26.840277
2024-04-18,2.882399,4.980000,-2.097601,-0.036513,1.066940,0.004513,1.000000,0.004513,0.000469,0.004045,63.334989,26.948833
2024-04-19,2.920972,4.970000,-2.049028,0.048573,1.064419,-0.002363,-1.000000,0.002363,0.000470,0.001893,63.484655,26.999857
2024-04-22,2.885943,4.970000,-2.084057,-0.035029,1.065825,0.001322,1.000000,0.001322,0.000469,0.000853,63.568559,27.022875
2024-04-23,2.879838,4.860000,-1.980162,0.103895,1.065405,-0.000394,-1.000000,0.000394,0.000469,-0.000075,63.593615,27.020844
2024-04-24,2.934341,4.890000,-1.955659,0.024503,1.070435,0.004721,1.000000,0.004721,0.000467,0.004253,63.893813,27.135776
2024-04-25,2.987305,4.960000,-1.972695,-0.017037,1.069988,-0.000417,1.000000,-0.000417,0.000000,-0.000417,63.867151,27.124453
2024-04-26,2.951698,4.960000,-2.008302,-0.035606,1.072961,0.002779,-1.000000,-0.002779,0.000466,-0.003245,63.689661,27.036433
