date,gb_2y_pct,us_2y_pct,rate_diff_pp,d_diff_pp,gbpusd_close,gbpusd_return,position,gross_return,cost,net_return,cum_gross,cum_net
2022-07-19,2.036000,3.244000,-1.208000,-0.015000,1.194829,0.005042,1.000000,0.005042,0.000418,0.004624,8.418039,4.410172
2022-07-20,2.063000,3.229000,-1.166000,0.042000,1.200351,0.004621,-1.000000,-0.004621,0.000417,-0.005038,8.379136,4.387954
2022-07-21,2.004000,3.089000,-1.085000,0.081000,1.197175,-0.002646,1.000000,-0.002646,0.000418,-0.003063,8.356967,4.374512
2022-07-22,1.849000,2.974000,-1.125000,-0.040000,1.199616,0.002039,1.000000,0.002039,0.000000,0.002039,8.374010,4.383434
2022-07-25,1.821000,3.018000,-1.197000,-0.072000,1.198696,-0.000767,-1.000000,0.000767,0.000417,0.000350,8.380435,4.384968
2022-07-26,1.810000,3.057000,-1.247000,-0.050000,1.205516,0.005690,-1.000000,-0.005690,0.000000,-0.005690,8.332750,4.360017
2022-07-27,1.883000,2.990000,-1.107000,0.140000,1.203688,-0.001517,-1.000000,0.001517,0.000000,0.001517,8.345388,4.366630
2022-07-28,1.724000,2.866000,-1.142000,-0.035000,1.216308,0.010485,1.000000,0.010485,0.000411,0.010074,8.432886,4.410618
2022-07-29,1.715000,2.888000,-1.173000,-0.031000,1.217345,0.000852,-1.000000,-0.000852,0.000411,-0.001263,8.425700,4.405048
2022-08-01,1.710000,2.876000,-1.166000,0.007000,1.216737,-0.000499,-1.000000,0.000499,0.000000,0.000499,8.429904,4.407245
2022-08-02,1.789000,3.053000,-1.264000,-0.098000,1.225415,0.007132,1.000000,0.007132,0.000408,0.006724,8.490025,4.436879
2022-08-03,1.844000,3.069000,-1.225000,0.039000,1.214300,-0.009071,-1.000000,0.009071,0.000412,0.008659,8.567037,4.475299
2022-08-04,1.859000,3.047000,-1.188000,0.037000,1.213828,-0.000388,1.000000,-0.000388,0.000412,-0.000800,8.563709,4.471717
2022-08-05,1.971000,3.327000,-1.356000,-0.168000,1.215850,0.001666,1.000000,0.001666,0.000000,0.001666,8.577974,4.479165
2022-08-08,1.911000,3.212000,-1.301000,0.055000,1.205953,-0.008140,-1.000000,0.008140,0.000415,0.007725,8.647799,4.513769
2022-08-09,1.924000,3.274000,-1.350000,-0.049000,1.208474,0.002091,1.000000,0.002091,0.000414,0.001677,8.665878,4.521338
2022-08-10,1.957000,3.216000,-1.259000,0.091000,1.207423,-0.000869,-1.000000,0.000869,0.000414,0.000455,8.673412,4.523396
2022-08-11,2.007000,3.223000,-1.216000,0.043000,1.221300,0.011493,1.000000,0.011493,0.000409,0.011083,8.773091,4.573530
2022-08-12,2.080000,3.253000,-1.173000,0.043000,1.219616,-0.001378,1.000000,-0.001378,0.000000,-0.001378,8.761000,4.567226
2022-08-15,2.038000,3.186000,-1.148000,0.025000,1.212797,-0.005591,1.000000,-0.005591,0.000000,-0.005591,8.712017,4.541691
2022-08-16,2.157000,3.268000,-1.111000,0.037000,1.205691,-0.005860,1.000000,-0.005860,0.000000,-0.005860,8.660968,4.515078
2022-08-17,2.407000,3.287000,-0.880000,0.231000,1.209819,0.003424,1.000000,0.003424,0.000000,0.003424,8.690622,4.530537
2022-08-18,2.464000,3.206000,-0.742000,0.138000,1.204515,-0.004384,1.000000,-0.004384,0.000000,-0.004384,8.652519,4.510673
2022-08-19,2.554000,3.238000,-0.684000,0.058000,1.193275,-0.009331,1.000000,-0.009331,0.000000,-0.009331,8.571778,4.468582
2022-08-22,2.644000,3.316000,-0.672000,0.012000,1.181810,-0.009608,1.000000,-0.009608,0.000000,-0.009608,8.489419,4.425647
2022-08-23,2.748000,3.304000,-0.556000,0.116000,1.176651,-0.004365,1.000000,-0.004365,0.000000,-0.004365,8.452359,4.406328
2022-08-24,2.941000,3.393000,-0.452000,0.104000,1.183278,0.005632,1.000000,0.005632,0.000000,0.005632,8.499967,4.431146
2022-08-25,2.823000,3.370000,-0.547000,-0.095000,1.179176,-0.003467,1.000000,-0.003467,0.000000,-0.003467,8.470499,4.415784
2022-08-26,2.823000,3.403000,-0.580000,-0.033000,1.182401,0.002735,-1.000000,-0.002735,0.000423,-0.003158,8.447333,4.401840
2022-08-29,2.823000,3.429000,-0.606000,-0.026000,1.169454,-0.010950,-1.000000,0.010950,0.000000,0.010950,8.539828,4.450039
2022-08-30,2.922000,3.448000,-0.526000,0.080000,1.172251,0.002391,-1.000000,-0.002391,0.000000,-0.002391,8.519406,4.439397
2022-08-31,3.008000,3.495000,-0.487000,0.039000,1.165977,-0.005352,1.000000,-0.005352,0.000429,-0.005781,8.473811,4.413734
2022-09-01,3.083000,3.508000,-0.425000,0.062000,1.159851,-0.005254,1.000000,-0.005254,0.000000,-0.005254,8.429288,4.390544
2022-09-02,3.153000,3.393000,-0.240000,0.185000,1.154894,-0.004273,1.000000,-0.004273,0.000000,-0.004273,8.393269,4.371782
2022-09-05,3.214000,3.463471,-0.249471,-0.009471,1.147460,-0.006437,1.000000,-0.006437,0.000000,-0.006437,8.339240,4.343640
2022-09-06,3.204000,3.507000,-0.303000,-0.053529,1.156644,0.008004,-1.000000,-0.008004,0.000432,-0.008436,8.272493,4.306996
2022-09-07,3.013000,3.437000,-0.424000,-0.121000,1.151185,-0.004720,-1.000000,0.004720,0.000000,0.004720,8.311538,4.327324
2022-09-08,3.068000,3.508000,-0.440000,-0.016000,1.151981,0.000691,-1.000000,-0.000691,0.000000,-0.000691,8.305793,4.324333
2022-09-09,3.059000,3.565000,-0.506000,-0.066000,1.152160,0.000156,-1.000000,-0.000156,0.000000,-0.000156,8.304501,4.323661
2022-09-12,3.026000,3.574000,-0.548000,-0.042000,1.161940,0.008488,-1.000000,-0.008488,0.000000,-0.008488,8.234013,4.286962
2022-09-13,3.191000,3.752000,-0.561000,-0.013000,1.168975,0.006055,-1.000000,-0.006055,0.000000,-0.006055,8.184153,4.261003
2022-09-14,3.162000,3.792000,-0.630000,-0.069000,1.150616,-0.015706,-1.000000,0.015706,0.000000,0.015706,8.312693,4.327926
2022-09-15,3.192000,3.867000,-0.675000,-0.045000,1.154494,0.003371,-1.000000,-0.003371,0.000000,-0.003371,8.284670,4.313336
2022-09-16,3.203000,3.873000,-0.670000,0.005000,1.145265,-0.007994,-1.000000,0.007994,0.000000,0.007994,8.350897,4.347816
2022-09-19,3.203000,3.940000,-0.737000,-0.067000,1.143314,-0.001704,1.000000,-0.001704,0.000437,-0.002141,8.336671,4.338509
2022-09-20,3.292000,3.969000,-0.677000,0.060000,1.144322,0.000881,-1.000000,-0.000881,0.000437,-0.001318,8.329326,4.332790
2022-09-21,3.456000,4.055000,-0.599000,0.078000,1.138058,-0.005474,1.000000,-0.005474,0.000439,-0.005913,8.283732,4.307169
2022-09-22,3.588000,4.127000,-0.539000,0.060000,1.125594,-0.010952,1.000000,-0.010952,0.000000,-0.010952,8.193008,4.259997
2022-09-23,3.912000,4.212000,-0.300000,0.239000,1.126418,0.000732,1.000000,0.000732,0.000000,0.000732,8.199006,4.263116
2022-09-26,4.491000,4.356000,0.135000,0.435000,1.079739,-0.041440,1.000000,-0.041440,0.000000,-0.041440,7.859236,4.086451
2022-09-27,4.717000,4.287000,0.430000,0.295000,1.077284,-0.002273,1.000000,-0.002273,0.000000,-0.002273,7.841372,4.077162
2022-09-28,4.287000,4.135000,0.152000,-0.278000,1.072754,-0.004205,1.000000,-0.004205,0.000000,-0.004205,7.808397,4.060017
2022-09-29,4.349000,4.199000,0.150000,-0.002000,1.083600,0.010110,-1.000000,-0.010110,0.000461,-0.010571,7.729454,4.017096
2022-09-30,4.287000,4.283000,0.004000,-0.146000,1.116944,0.030772,-1.000000,-0.030772,0.000000,-0.030772,7.491604,3.893483
2022-10-03,4.024000,4.118000,-0.094000,-0.098000,1.114057,-0.002585,-1.000000,0.002585,0.000000,0.002585,7.510968,3.903546
2022-10-04,3.877000,4.097000,-0.220000,-0.126000,1.133414,0.017375,-1.000000,-0.017375,0.000000,-0.017375,7.380463,3.835721
2022-10-05,3.996000,4.146000,-0.150000,0.070000,1.145134,0.010341,-1.000000,-0.010341,0.000000,-0.010341,7.304145,3.796058
2022-10-06,4.126000,4.262000,-0.136000,0.014000,1.135538,-0.008380,1.000000,-0.008380,0.000440,-0.008821,7.242934,3.762574
2022-10-07,4.064000,4.314000,-0.250000,-0.114000,1.116208,-0.017022,1.000000,-0.017022,0.000000,-0.017022,7.119643,3.698527
2022-10-10,4.342000,4.324555,0.017445,0.267445,1.107273,-0.008006,-1.000000,0.008006,0.000452,0.007554,7.176639,3.726465
